processor_name,passmark,rank,value,price
AMD Opteron 2393 SE,2246,1591,,
AMD Opteron 2427,3069,1296,31.0,$99.00
AMD Opteron 2431,4516,948,112.91,$40.00
AMD Opteron 2435,4708,905,24.91,$189.00
AMD Opteron 246,632,2408,31.62,$19.99*
AMD Opteron 248,476,2508,4.77,$99.95
AMD Opteron 250,649,2398,59.01,$11.00*
AMD Opteron 252,760,2346,12.0,$63.36*
AMD Opteron 254,693,2379,,
AMD Opteron 256,963,2238,50.72,$19.00*
AMD Opteron 265,963,2239,13.2,$73.00
AMD Opteron 270,1170,2116,1.93,$607.47*
AMD Opteron 275,1291,2044,19.87,$64.99
AMD Opteron 280,1176,2110,1.48,$796.67*
AMD Opteron 285,1470,1956,,
AMD Opteron 290,1464,1958,10.85,$135.00*
AMD Opteron 3250 HE,2942,1338,29.73,$99.00*
AMD Opteron 3260 HE,3259,1230,,
AMD Opteron 3280,5403,780,19.78,$273.18*
AMD Opteron 3320 EE,2675,1429,,
AMD Opteron 3350 HE,4009,1043,,
AMD Opteron 3365,5963,710,,
AMD Opteron 3380,6384,670,7.89,$809.00*
AMD Opteron 4122,2942,1339,23.55,$124.99*
AMD Opteron 4162 EE,3166,1264,,
AMD Opteron 4170 HE,3664,1128,62.11,$59.00*
AMD Opteron 4184,4418,967,8.5,$519.95*
AMD Opteron 4280,6430,661,128.6,$50.00
AMD Opteron 4284,6660,644,111.03,$59.99*
AMD Opteron 4332 HE,5614,751,,
AMD Opteron 4334,6099,699,28.18,$216.42*
AMD Opteron 4365 EE,5025,847,,
AMD Opteron 4386,6761,632,48.3,$139.99*
AMD Opteron 6128,4505,949,225.37,$19.99
AMD Opteron 6134,2938,1340,66.81,$43.99
AMD Opteron 6136,4631,920,42.1,$110.00*
AMD Opteron 6164 HE,5351,791,,
AMD Opteron 6172,5261,801,26.57,$198.00
AMD Opteron 6174,6171,689,62.34,$99.00
AMD Opteron 6176 SE,5465,772,34.37,$159.00*
AMD Opteron 6212,5776,731,192.62,$29.99*
AMD Opteron 6220,6785,629,113.11,$59.99*
AMD Opteron 6234,5938,714,198.27,$29.95*
AMD Opteron 6238,7673,545,21.32,$359.89*
AMD Opteron 6272,6748,634,21.77,$309.95
AMD Opteron 6274,4865,877,105.8,$45.99
AMD Opteron 6276,8889,432,52.6,$169.00
AMD Opteron 6282 SE,9116,405,70.13,$129.99*
AMD Opteron 6287 SE,9789,343,,
AMD Opteron 6328,7813,527,21.76,$359.00
AMD Opteron 6366 HE,7503,558,250.19,$29.99*
AMD Opteron 6376,9212,396,141.72,$65.00
AMD Opteron 6378,9094,407,22.79,$399.00
AMD Opteron 6380,10081,315,170.88,$59.00
AMD Opteron 6386 SE,10912,267,72.75,$149.99*
AMD Opteron 8354,2255,1587,93.98,$24.00
AMD Opteron 8439 SE,3813,1090,50.84,$75.00*
AMD Opteron X2170 APU,3059,1300,,
AMD Opteron X3216 APU,2366,1541,,
AMD Opteron X3418 APU,4659,912,,
AMD Opteron X3421 APU,4928,868,,
AMD Phenom 2 X4 12000,3005,1319,,
AMD Phenom 7950 Quad-Core,2991,1322,,
AMD Phenom 8250 Triple-Core,1668,1859,,
AMD Phenom 8250e Triple-Core,1635,1879,34.81,$46.99*
AMD Phenom 8400 Triple-Core,1632,1881,,
AMD Phenom 8450 Triple-Core,1889,1749,63.09,$29.95*
AMD Phenom 8450e Triple-Core,2026,1677,,
AMD Phenom 8600 Triple-Core,1673,1856,31.57,$52.99*
AMD Phenom 8600B Triple-Core,1924,1724,36.33,$52.99*
AMD Phenom 8650 Triple-Core,1989,1693,39.8,$49.99*
AMD Phenom 8750 Triple-Core,2058,1668,,
AMD Phenom 8750B Triple-Core,2034,1674,,
AMD Phenom 8850 Triple-Core,1968,1703,,
AMD Phenom 8850B Triple-Core,2080,1657,,
AMD Phenom 9100e Quad-Core,1831,1775,45.85,$39.95*
AMD Phenom 9150e Quad-Core,2113,1642,52.91,$39.95*
AMD Phenom 9350e Quad-Core,2320,1553,0.69,"$3,382.07*"
AMD Phenom 9450e Quad-Core,2599,1450,24.76,$105.00*
AMD Phenom 9500 Quad-Core,2202,1608,75.98,$28.99*
AMD Phenom 9550 Quad-Core,2543,1475,87.74,$28.99*
AMD Phenom 9600 Quad-Core,2301,1562,46.08,$49.95*
AMD Phenom 9600B Quad-Core,2573,1462,17.48,$147.19*
AMD Phenom 9650 Quad-Core,2636,1439,58.65,$44.95
AMD Phenom 9750 Quad-Core,2810,1387,95.31,$29.49*
AMD Phenom 9750B Quad-Core,2709,1420,,
AMD Phenom 9850 Quad-Core,2892,1363,24.11,$119.99*
AMD Phenom 9850B Quad-Core,3160,1268,,
AMD Phenom 9950 Quad-Core,3010,1314,22.3,$134.99*
AMD Phenom FX-5000 Quad-Core,2517,1485,,
AMD Phenom FX-5200 Quad-Core,2948,1337,,
AMD Phenom FX-7750 Quad-Core,3616,1135,,
AMD Phenom II 42 TWKR Black Edition,3489,1171,,
AMD Phenom II N620 Dual-Core,1683,1848,421.84,$3.99*
AMD Phenom II N640 Dual-Core,1718,1824,26.46,$64.95*
AMD Phenom II N660 Dual-Core,1851,1764,18.7,$99.00*
AMD Phenom II N830 3+1,2652,1434,,
AMD Phenom II N830 Triple-Core,1890,1747,,
AMD Phenom II N850 Triple-Core,1937,1718,77.51,$25.00*
AMD Phenom II N870 Triple-Core,1999,1689,,
AMD Phenom II N930 Quad-Core,2274,1576,17.5,$129.95*
AMD Phenom II N950 Quad-Core,2485,1499,22.07,$112.60*
AMD Phenom II N970 Quad-Core,2521,1483,16.81,$149.99*
AMD Phenom II P650 Dual-Core,1597,1901,45.66,$35.00*
AMD Phenom II P820 Triple-Core,1602,1898,,
AMD Phenom II P840 Triple-Core,1709,1831,,
AMD Phenom II P860 Triple-Core,1756,1804,,
AMD Phenom II P920 Quad-Core,1866,1757,24.89,$75.00*
AMD Phenom II P940 Quad-Core,1820,1782,,
AMD Phenom II P960 Quad-Core,2085,1653,74.48,$28.00*
AMD Phenom II X2 511,2104,1647,,
AMD Phenom II X2 521,2071,1660,,
AMD Phenom II X2 545,1916,1728,43.57,$43.98*
AMD Phenom II X2 550,2021,1679,40.44,$49.99*
AMD Phenom II X2 555,2045,1671,73.1,$27.98*
AMD Phenom II X2 560,2061,1665,31.71,$64.99*
AMD Phenom II X2 565,2222,1602,74.12,$29.99*
AMD Phenom II X2 570,2068,1663,,
AMD Phenom II X2 B53,1709,1832,,
AMD Phenom II X2 B55,1921,1726,40.02,$48.00*
AMD Phenom II X2 B57,1826,1780,,
AMD Phenom II X2 B59,2118,1639,108.77,$19.48*
AMD Phenom II X3 700e,2242,1593,,
AMD Phenom II X3 705e,2227,1600,14.63,$152.34*
AMD Phenom II X3 710,2446,1509,28.95,$84.53*
AMD Phenom II X3 715,2649,1437,31.17,$84.99*
AMD Phenom II X3 720,2668,1430,38.13,$69.99*
AMD Phenom II X3 740,2985,1323,33.55,$88.99*
AMD Phenom II X3 B73,2735,1414,36.47,$75.00*
AMD Phenom II X3 B75,2906,1356,72.69,$39.99*
AMD Phenom II X3 B77,3067,1297,137.64,$22.29*
AMD Phenom II X4 805,2998,1320,17.23,$173.99*
AMD Phenom II X4 810,3122,1280,26.92,$115.99*
AMD Phenom II X4 820,3396,1194,45.31,$74.95*
AMD Phenom II X4 830,3434,1185,42.95,$79.95*
AMD Phenom II X4 840,3507,1168,39.0,$89.95*
AMD Phenom II X4 840T,3598,1141,51.42,$69.99*
AMD Phenom II X4 850,3549,1154,54.62,$64.99*
AMD Phenom II X4 8700e,2377,1536,,
AMD Phenom II X4 900e,2882,1367,,
AMD Phenom II X4 905e,3078,1294,57.02,$53.99*
AMD Phenom II X4 910,3252,1234,32.52,$100.00*
AMD Phenom II X4 910e,3254,1232,20.73,$156.99*
AMD Phenom II X4 920,3393,1196,42.42,$79.99
AMD Phenom II X4 925,3417,1188,77.69,$43.99*
AMD Phenom II X4 940,3591,1143,60.52,$59.34*
AMD Phenom II X4 945,3654,1132,56.27,$64.95
AMD Phenom II X4 955,3924,1066,30.15,$130.16*
AMD Phenom II X4 960T,3781,1097,59.1,$63.99*
AMD Phenom II X4 965,4181,1015,49.78,$84.01
AMD Phenom II X4 970,4320,987,29.17,$148.11*
AMD Phenom II X4 973,3759,1105,,
AMD Phenom II X4 975,4453,956,31.88,$139.69*
AMD Phenom II X4 977,3750,1108,,
AMD Phenom II X4 980,4490,953,19.52,$229.99*
AMD Phenom II X4 B05e,2792,1391,,
AMD Phenom II X4 B15e,2736,1413,,
AMD Phenom II X4 B25,3297,1223,,
AMD Phenom II X4 B35,3383,1200,,
AMD Phenom II X4 B40,3361,1205,,
AMD Phenom II X4 B45,3467,1177,,
AMD Phenom II X4 B50,3697,1121,,
AMD Phenom II X4 B55,3855,1076,,
AMD Phenom II X4 B60,4043,1036,,
AMD Phenom II X4 B65,4172,1016,,
AMD Phenom II X4 B70,4261,998,,
AMD Phenom II X4 B93,3356,1208,,
AMD Phenom II X4 B95,3684,1126,50.51,$72.95*
AMD Phenom II X4 B97,3863,1074,67.8,$56.99*
AMD Phenom II X4 B99,4130,1024,,
AMD Phenom II X6 1035T,4643,915,24.57,$189.00*
AMD Phenom II X6 1045T,4797,894,44.42,$108.01*
AMD Phenom II X6 1055T,4959,862,61.8,$80.24*
AMD Phenom II X6 1065T,5041,845,,
AMD Phenom II X6 1075T,5328,795,47.16,$112.99*
AMD Phenom II X6 1090T,5563,756,14.05,$396.08*
AMD Phenom II X6 1100T,5708,737,32.16,$177.49*
AMD Phenom II X6 1405T,5042,843,,
AMD Phenom II X620 Dual-Core,2189,1614,,
AMD Phenom II X640 Dual-Core,2021,1680,,
AMD Phenom II X920 Quad-Core,2650,1436,,
AMD Phenom II X940 Quad-Core,2695,1423,,
AMD Phenom Ultra X4 24500,3945,1062,,
AMD Phenom X2 Dual-Core GE-4060,1697,1841,,
AMD Phenom X2 Dual-Core GE-5560,2206,1607,,
AMD Phenom X2 Dual-Core GE-7060,1752,1807,,
AMD Phenom X2 Dual-Core GP-5000,1180,2108,,
AMD Phenom X2 Dual-Core GP-7730,1435,1969,,
AMD Phenom X3 8550,1927,1721,11.34,$169.95*
AMD Phenom X4 Quad-Core GP-9500,1757,1801,,
AMD Phenom X4 Quad-Core GP-9530,1994,1690,,
AMD Phenom X4 Quad-Core GP-9600,2235,1597,,
AMD Phenom X4 Quad-Core GP-9730,2897,1362,,
AMD Phenom X4 Quad-Core GP-9830,2715,1419,,
AMD Phenom X4 Quad-Core GP-9930,2690,1425,,
AMD Phenom X4 Quad-Core GS-5560,1211,2091,,
AMD PRO A10-8700B,3553,1153,,
AMD PRO A10-8730B,3971,1052,,
AMD PRO A10-8750B,5473,766,,
AMD PRO A10-8770,5707,738,,
AMD PRO A10-8770E,5035,846,,
AMD PRO A10-8850B,5852,723,,
AMD PRO A10-9700,5677,743,33.59,$169.00*
AMD PRO A10-9700B,4380,973,,
AMD PRO A10-9700E,5066,836,36.45,$139.00*
AMD PRO A12-8800B,4119,1027,,
AMD PRO A12-8830B,4315,990,,
AMD PRO A12-8870,6067,703,,
AMD PRO A12-8870E,5186,816,,
AMD PRO A12-9800,6132,694,36.29,$169.00*
AMD PRO A12-9800B,4124,1026,,
AMD PRO A12-9800E,4769,897,28.22,$169.00*
AMD PRO A4-3350B APU,2274,1577,,
AMD PRO A4-8350B,2776,1397,,
AMD PRO A6-7350B,2759,1404,,
AMD PRO A6-8500B,2516,1486,,
AMD PRO A6-8530B,2388,1530,,
AMD PRO A6-8550B,2970,1330,,
AMD PRO A6-8570,3049,1307,,
AMD PRO A6-8570E,2824,1380,,
AMD PRO A6-9500,2950,1335,39.88,$74.00*
AMD PRO A6-9500B,2076,1659,,
AMD PRO A6-9500E,2717,1418,36.73,$74.00*
AMD PRO A8-8600B,3513,1166,,
AMD PRO A8-8650B,5245,806,,
AMD PRO A8-8670E,5015,849,,
AMD PRO A8-9600,5277,800,44.35,$119.00*
AMD PRO A8-9600B,3964,1055,,
AMD QC-4000,1663,1865,,
AMD R-260H APU,1576,1908,,
AMD R-460L APU,1954,1708,,
AMD R-464L APU,3117,1282,,
AMD RX-427BB,4351,980,,
AMD Ryzen 3 1200,6731,637,103.57,$64.99
AMD Ryzen 3 1300X,7505,557,56.82,$132.10
AMD Ryzen 3 2200G,7305,583,85.96,$84.99
AMD Ryzen 3 2200GE,6829,624,,
AMD Ryzen 3 2200U,4579,933,,
AMD Ryzen 3 2300U,6144,692,,
AMD Ryzen 3 2300X,8423,466,,
AMD Ryzen 3 3200G,8259,481,83.43,$99.00*
AMD Ryzen 3 3200U,5071,832,,
AMD Ryzen 3 PRO 1200,7069,602,,
AMD Ryzen 3 PRO 1300,8022,509,,
AMD Ryzen 3 PRO 2100GE,5113,823,,
AMD Ryzen 3 PRO 2200G,8042,506,,
AMD Ryzen 3 PRO 2200GE,7630,550,,
AMD Ryzen 3 PRO 2300U,7124,598,,
AMD Ryzen 3 PRO 3200GE,8147,494,,
AMD Ryzen 3 PRO 3300U,7398,572,,
AMD Ryzen 5 1400,8365,472,60.35,$138.61
AMD Ryzen 5 1500X,10078,316,71.86,$140.24
AMD Ryzen 5 1600,12284,228,102.38,$119.99
AMD Ryzen 5 1600X,13206,201,85.76,$153.99
AMD Ryzen 5 2400G,9315,386,73.94,$125.99
AMD Ryzen 5 2400GE,8808,438,,
AMD Ryzen 5 2500U,7352,578,,
AMD Ryzen 5 2500X,9663,357,,
AMD Ryzen 5 2600,13509,199,96.5,$139.99
AMD Ryzen 5 2600H,8366,471,,
AMD Ryzen 5 2600X,14375,163,89.86,$159.99
AMD Ryzen 5 3400G,10154,305,68.15,$149.00*
AMD Ryzen 5 3500U,8241,483,,
AMD Ryzen 5 3550H,8442,465,,
AMD Ryzen 5 3600,19964,57,79.86,$249.99
AMD Ryzen 5 3600X,20686,52,83.25,$248.50
AMD Ryzen 5 PRO 1500,10133,308,,
AMD Ryzen 5 PRO 1600,12213,230,,
AMD Ryzen 5 PRO 2400G,9997,323,,
AMD Ryzen 5 PRO 2400GE,8561,459,,
AMD Ryzen 5 PRO 2500U,8359,473,,
AMD Ryzen 5 PRO 2600,14221,168,,
AMD Ryzen 5 PRO 3600,20850,50,,
AMD Ryzen 7 1700,13774,187,48.85,$281.98
AMD Ryzen 7 1700X,14682,154,89.54,$163.99
AMD Ryzen 7 1800X,15422,140,65.2,$236.54
AMD Ryzen 7 2700,15004,147,75.03,$199.99
AMD Ryzen 7 2700U,7396,573,,
AMD Ryzen 7 2700X,16979,100,64.12,$264.79
AMD Ryzen 7 2800H,8498,461,,
AMD Ryzen 7 3700U,8012,512,,
AMD Ryzen 7 3700X,24129,22,47.31,$509.99
AMD Ryzen 7 3750H,9011,418,,
AMD Ryzen 7 PRO 1700,14171,171,,
AMD Ryzen 7 PRO 1700X,15367,143,,
AMD Ryzen 7 PRO 2700,15714,135,,
AMD Ryzen 7 PRO 2700U,8830,437,,
AMD Ryzen 7 PRO 2700X,17161,97,,
AMD Ryzen 7 PRO 3700U,7674,544,,
AMD Ryzen 9 3900X,32408,1,64.95,$499.00*
AMD Ryzen Embedded R1505G,4733,903,,
AMD Ryzen Embedded V1202B,4368,976,,
AMD Ryzen Embedded V1605B,7454,563,,
AMD Ryzen Embedded V1807B,8604,456,,
AMD Ryzen Threadripper 1900X,16089,122,55.48,$289.99
AMD Ryzen Threadripper 1920X,19565,68,53.66,$364.59
AMD Ryzen Threadripper 1950X,21829,39,43.66,$499.99
AMD Ryzen Threadripper 2920X,22094,34,40.8,$541.49
AMD Ryzen Threadripper 2950X,25530,16,34.64,$737.10
AMD Ryzen Threadripper 2970WX,21586,41,17.94,"$1,203.46"
AMD Ryzen Threadripper 2990WX,23257,29,14.38,"$1,617.11"
AMD Ryzen Threadripper 2990X,19227,72,,
AMD Sempron 130,656,2396,26.29,$24.99*
AMD Sempron 140,738,2357,18.64,$39.59*
AMD Sempron 145,806,2329,8.49,$94.92
AMD Sempron 150,707,2370,15.74,$44.95*
AMD Sempron 200U,267,2761,3.08,$87.00*
AMD Sempron 2100+,392,2605,,
AMD Sempron 210U,391,2607,,
AMD Sempron 2200+,281,2745,9.38,$29.99*
AMD Sempron 2300+,318,2682,7.07,$45.00*
AMD Sempron 240,2110,1644,36.39,$58.00
AMD Sempron 2400+,314,2689,12.1,$26.00*
AMD Sempron 2500+,335,2665,6.11,$54.95*
AMD Sempron 2600+,373,2623,10.7,$34.95
AMD Sempron 2650 APU,947,2253,17.66,$53.68
AMD Sempron 2800+,383,2611,6.4,$59.95
AMD Sempron 3000+,408,2578,20.41,$20.00
AMD Sempron 3100+,452,2532,7.53,$60.00*
AMD Sempron 3200+,406,2579,3.1,$131.22*
AMD Sempron 3300+,484,2501,8.07,$60.00
AMD Sempron 3400+,454,2530,3.47,$131.22*
AMD Sempron 3500+,379,2614,18.98,$20.00*
AMD Sempron 3600+,483,2503,40.3,$12.00*
AMD Sempron 3800+,554,2448,3.62,$152.92*
AMD Sempron 3850 APU,1715,1826,21.1,$81.33
AMD Sempron Dual Core 2100,936,2260,24.02,$39.00*
AMD Sempron Dual Core 2200,995,2218,,
AMD Sempron Dual Core 2300,982,2226,23.39,$41.99*
AMD Sempron Dual Core 4700,948,2252,,
AMD Sempron Dual Core 4900,1081,2169,,
AMD Sempron LE-1100,438,2549,,
AMD Sempron LE-1150,444,2540,,
AMD Sempron LE-1200,528,2462,,
AMD Sempron LE-1250,541,2454,5.41,$99.95*
AMD Sempron LE-1300,598,2424,28.51,$21.00
AMD Sempron LE-1600,535,2459,,
AMD Sempron LE-1620,635,2406,,
AMD Sempron LE-1640,759,2347,,
AMD Sempron LE-250,490,2490,,
AMD Sempron M100,563,2444,46.99,$12.00*
AMD Sempron M120,582,2433,,
AMD Sempron SI-40,443,2542,36.93,$12.00*
AMD Sempron SI-42,456,2529,15.22,$30.01*
AMD Sempron X2 180,1222,2086,17.62,$69.40*
AMD Sempron X2 190,1512,1939,18.12,$83.44*
AMD Sempron X2 198 Dual-Core,1413,1981,,
AMD Turion 64 Mobile MK-36,465,2516,,
AMD Turion 64 Mobile MK-38,513,2474,,
AMD Turion 64 Mobile ML-28,390,2608,,
AMD Turion 64 Mobile ML-30,402,2589,,
AMD Turion 64 Mobile ML-32,402,2587,,
AMD Turion 64 Mobile ML-34,425,2565,,
AMD Turion 64 Mobile ML-37,442,2543,2.25,$196.50*
AMD Turion 64 Mobile ML-40,522,2468,,
AMD Turion 64 Mobile ML-42,615,2415,,
AMD Turion 64 Mobile ML-44,591,2426,,
AMD Turion 64 Mobile MT-28,419,2567,,
AMD Turion 64 Mobile MT-30,378,2615,,
AMD Turion 64 Mobile MT-32,426,2564,,
AMD Turion 64 Mobile MT-34,429,2560,,
AMD Turion 64 Mobile MT-37,484,2500,,
AMD Turion 64 Mobile MT-40,536,2457,,
AMD Turion 64 X2 Mobile TL-50,747,2353,14.95,$49.99*
AMD Turion 64 X2 Mobile TL-52,763,2343,,
AMD Turion 64 X2 Mobile TL-56,891,2288,63.89,$13.95*
AMD Turion 64 X2 Mobile TL-58,946,2255,,
AMD Turion 64 X2 Mobile TL-60,996,2217,62.48,$15.95*
AMD Turion 64 X2 Mobile TL-62,1087,2163,3.5,$311.00*
AMD Turion 64 X2 Mobile TL-64,1092,2161,27.72,$39.39*
AMD Turion 64 X2 Mobile TL-66,1141,2135,3.02,$378.00*
AMD Turion 64 X2 Mobile TL-68,1162,2121,12.92,$90.00*
AMD Turion Dual-Core RM-70,912,2278,36.49,$25.00*
AMD Turion Dual-Core RM-72,860,2297,21.52,$39.99
AMD Turion Dual-Core RM-74,1016,2204,,
AMD Turion Dual-Core RM-75,977,2228,35.61,$27.46*
AMD Turion II Dual-Core Mobile M500,1293,2041,,
AMD Turion II Dual-Core Mobile M520,1306,2032,18.91,$69.10*
AMD Turion II Dual-Core Mobile M540,1338,2019,,
AMD Turion II N530 Dual-Core,1583,1907,52.78,$30.00*
AMD Turion II N550 Dual-Core,1521,1929,,
AMD Turion II Neo K625 Dual-Core,975,2230,,
AMD Turion II Neo K685 Dual-Core,1186,2105,,
AMD Turion II Neo N40L Dual-Core,925,2267,,
AMD Turion II Neo N54L Dual-Core,1364,2001,,
AMD Turion II P520 Dual-Core,1359,2006,,
AMD Turion II P540 Dual-Core,1430,1972,28.65,$49.95*
AMD Turion II P560 Dual-Core,1514,1938,,
AMD Turion II Ultra Dual-Core Mobile M600,1406,1982,52.55,$26.76
AMD Turion II Ultra Dual-Core Mobile M620,1435,1970,,
AMD Turion II Ultra Dual-Core Mobile M640,1669,1858,,
AMD Turion II Ultra Dual-Core Mobile M660,1533,1924,,
AMD Turion Neo X2 Dual Core L625,813,2325,,
AMD Turion X2 Dual Core L510,923,2270,,
AMD Turion X2 Dual Core Mobile RM-70,858,2299,6.48,$132.56*
AMD Turion X2 Dual Core Mobile RM-76,1059,2179,,
AMD Turion X2 Dual-Core Mobile RM-70,993,2222,,
AMD Turion X2 Dual-Core Mobile RM-72,1085,2166,4.84,$224.26*
AMD Turion X2 Dual-Core Mobile RM-74,1059,2178,43.31,$24.47*
AMD Turion X2 Dual-Core Mobile RM-75,1135,2137,,
AMD Turion X2 Dual-Core Mobile RM-77,1149,2129,,
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,1017,2203,16.42,$62.00*
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,1084,2167,,
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,1209,2093,63.72,$18.99*
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,1234,2078,27.43,$45.00*
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,1297,2039,23.58,$55.00*
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,1232,2082,30.86,$39.95*
AMD TurionX2 Dual Core Mobile RM-70,997,2215,,
AMD TurionX2 Dual Core Mobile RM-72,1026,2195,,
AMD TurionX2 Ultra DualCore Mobile ZM-85,1454,1961,,
AMD V105,299,2709,,
AMD V120,623,2413,,
AMD V140,643,2403,12.89,$49.95*
AMD V160,677,2387,,
AMD Z-01,523,2467,,
AMD Z-60 APU,500,2485,,
AMD-K6 3D,90,2885,,
AMD-K6-III,108,2882,,
AMD-K7,403,2586,,
Athlon 64 Dual Core 3800+,1234,2079,,
Athlon 64 Dual Core 4200+,1156,2126,5.64,$204.95*
Athlon 64 Dual Core 4800+,1370,1998,,
Athlon 64 Dual Core 5000+,1507,1940,,
Athlon 64 Dual Core 5400+,1614,1891,,
Athlon 64 Dual Core 5600+,1548,1918,,
Athlon Dual Core 4050e,968,2235,,
Athlon Dual Core 4450e,1204,2095,,
Athlon Dual Core 4850e,1327,2023,,
Celeron Dual-Core Q8300 @ 2.50GHz,2837,1374,,
Celeron Dual-Core T3000 @ 1.80GHz,1085,2165,,
Celeron Dual-Core T3100 @ 1.90GHz,1171,2115,,
Celeron Dual-Core T3300 @ 2.00GHz,1201,2098,,
Celeron Dual-Core T3500 @ 2.10GHz,1275,2057,,
Dual-Core AMD Opteron 1220 SE,1206,2094,,
HP Hexa-Core 2.0GHz,2178,1616,4.32,$504.27*
Intel 1300 @ 1.66GHz,857,2301,,
Intel 1400 @ 1.83GHz,980,2227,,
Intel 1500 @ 2.00GHz,1024,2197,,
Intel 2.80GHz,525,2465,,
Intel Atom 230 @ 1.60GHz,307,2696,,
Intel Atom 330 @ 1.60GHz,587,2430,,
Intel Atom C2338 @ 1.74GHz,898,2286,,
Intel Atom C2358 @ 1.74GHz,961,2242,,
Intel Atom C2538 @ 2.40GHz,2085,1654,20.05,$104.00*
Intel Atom C2550 @ 2.40GHz,2261,1585,,
Intel Atom C2558 @ 2.40GHz,2169,1618,15.95,$136.00*
Intel Atom C2750 @ 2.40GHz,3806,1093,16.41,$232.00*
Intel Atom C2750 @ 2.41GHz,3344,1211,,
Intel Atom C2758 @ 2.40GHz,3162,1266,14.72,$214.86*
Intel Atom C3538 @ 2.10GHz,2455,1505,32.73,$75.00*
Intel Atom C3558 @ 2.20GHz,2538,1476,29.52,$86.00*
Intel Atom C3858 @ 2.00GHz,4852,882,14.62,$332.00*
Intel Atom D2500 @ 1.86GHz,403,2584,,
Intel Atom D2550 @ 1.86GHz,680,2385,,
Intel Atom D2560 @ 2.00GHz,711,2367,,
Intel Atom D2700 @ 2.13GHz,842,2310,,
Intel Atom D2701 @ 2.13GHz,720,2364,,
Intel Atom D410 @ 1.66GHz,301,2705,0.47,$635.99*
Intel Atom D425 @ 1.80GHz,345,2657,0.35,$992.98*
Intel Atom D510 @ 1.66GHz,657,2395,6.76,$97.16*
Intel Atom D525 @ 1.80GHz,706,2371,,
Intel Atom E3815 @ 1.46GHz,331,2670,1.58,$209.99
Intel Atom E3825 @ 1.33GHz,579,2435,8.24,$70.32*
Intel Atom E3826 @ 1.46GHz,489,2492,,
Intel Atom E3827 @ 1.74GHz,849,2306,,
Intel Atom E3840 @ 1.91GHz,1162,2122,,
Intel Atom E3845 @ 1.91GHz,1504,1942,,
Intel Atom E3940 @ 1.60GHz,1867,1756,,
Intel Atom E3950 @ 1.60GHz,1872,1755,,
Intel Atom E660 @ 1.30GHz,271,2757,5.03,$54.00*
Intel Atom E680 @ 1.60GHz,346,2654,,
Intel Atom K510 @ 1.66GHz,658,2394,,
Intel Atom N2100 @ 1.60GHz,302,2701,,
Intel Atom N2600 @ 1.60GHz,526,2463,,
Intel Atom N270 @ 1.60GHz,269,2760,,
Intel Atom N280 @ 1.66GHz,283,2738,,
Intel Atom N2800 @ 1.86GHz,624,2412,,
Intel Atom N435 @ 1.33GHz,261,2768,,
Intel Atom N450 @ 1.66GHz,295,2717,,
Intel Atom N455 @ 1.66GHz,283,2736,,
Intel Atom N470 @ 1.83GHz,318,2681,,
Intel Atom N475 @ 1.83GHz,314,2687,,
Intel Atom N550 @ 1.50GHz,524,2466,6.1,$86.00*
Intel Atom N570 @ 1.66GHz,572,2440,6.66,$86.00*
Intel Atom S1260 @ 2.00GHz,916,2275,14.32,$64.00*
Intel Atom T5700 @ 1.70GHz,2039,1672,,
Intel Atom x5-E3930 @ 1.30GHz,811,2326,,
Intel Atom x5-E8000 @ 1.04GHz,1619,1888,,
Intel Atom x5-Z8300 @ 1.44GHz,1193,2101,8.98,$132.99*
Intel Atom x5-Z8330 @ 1.44GHz,1018,2202,,
Intel Atom x5-Z8350 @ 1.44GHz,1268,2061,60.43,$21.00*
Intel Atom x5-Z8500 @ 1.44GHz,1693,1846,27.07,$62.57*
Intel Atom x5-Z8550 @ 1.44GHz,1831,1778,,
Intel Atom x7-Z8700 @ 1.60GHz,1894,1742,25.73,$73.63*
Intel Atom x7-Z8750 @ 1.60GHz,1889,1748,,
Intel Atom Z2760 @ 1.80GHz,568,2443,,
Intel Atom Z3735D @ 1.33GHz,914,2276,,
Intel Atom Z3735E @ 1.33GHz,927,2265,7.93,$117.00*
Intel Atom Z3735F @ 1.33GHz,908,2283,5.01,$181.30*
Intel Atom Z3735G @ 1.33GHz,906,2284,,
Intel Atom Z3736F @ 1.33GHz,919,2274,,
Intel Atom Z3740 @ 1.33GHz,1061,2177,,
Intel Atom Z3740D @ 1.33GHz,1025,2196,,
Intel Atom Z3745 @ 1.33GHz,1079,2172,35.98,$30.00*
Intel Atom Z3745D @ 1.33GHz,1034,2191,,
Intel Atom Z3770 @ 1.46GHz,1245,2076,8.34,$149.44*
Intel Atom Z3770D @ 1.49GHz,805,2330,,
Intel Atom Z3775 @ 1.46GHz,1260,2064,36.0,$35.00*
Intel Atom Z3775D @ 1.49GHz,1278,2054,,
Intel Atom Z3795 @ 1.60GHz,1772,1797,,
Intel Atom Z510 @ 1.10GHz,194,2836,4.33,$45.00*
Intel Atom Z515 @ 1.20GHz,218,2812,,
