processor_name,passmark,rank,value,price
AMD A8-7100 APU,2807,1388,,
AMD A8-7200P,3319,1215,,
AMD A8-7410 APU,2741,1409,,
AMD A8-7600 APU,5067,835,63.35,$79.99*
AMD A8-7650K,4924,869,19.39,$254.00
AMD A8-7670K,5082,829,31.55,$161.10*
AMD A8-7680,5185,817,86.45,$59.99*
AMD A8-8600P,3248,1235,,
AMD A8-8650,5470,769,,
AMD A8-9600,4990,855,78.14,$63.86
AMD A9-9400,2328,1550,,
AMD A9-9410,2554,1469,,
AMD A9-9420,2337,1547,,
AMD A9-9420e,1904,1735,,
AMD A9-9425,2535,1477,,
AMD A9-9430,2524,1480,,
AMD Athlon 1500+,294,2720,,
AMD Athlon 1640B,670,2389,13.42,$50.00*
AMD Athlon 2000+,390,2609,,
AMD Athlon 200GE,4936,864,80.29,$61.49
AMD Athlon 2100+,412,2572,,
AMD Athlon 2200+,363,2639,4.55,$79.99*
AMD Athlon 220GE,5252,803,79.27,$66.26
AMD Athlon 2400+,462,2522,,
AMD Athlon 240GE,5411,777,85.91,$62.99
AMD Athlon 2500+,374,2619,2.04,$183.99*
AMD Athlon 2600+,444,2541,4.23,$104.95*
AMD Athlon 2650e,409,2576,21.56,$19.00*
AMD Athlon 2800+,447,2538,3.2,$139.95*
AMD Athlon 2850e,506,2481,,
AMD Athlon 3100+,485,2499,,
AMD Athlon 3200+,458,2526,7.63,$60.00*
AMD Athlon 4,279,2747,11.68,$23.95
AMD Athlon 5000 Dual-Core,1292,2042,10.78,$119.95
AMD Athlon 5150 APU,2106,1646,13.17,$159.95
AMD Athlon 5200 Dual-Core,1266,2063,42.23,$29.99*
AMD Athlon 5350 APU,2607,1449,13.72,$190.00
AMD Athlon 5370 APU,2912,1349,45.73,$63.70*
AMD Athlon 64 2000+,116,2881,,
AMD Athlon 64 2200+,575,2439,,
AMD Athlon 64 2600+,374,2621,,
AMD Athlon 64 2800+,438,2550,4.38,$99.99*
AMD Athlon 64 3000+,464,2519,5.8,$79.99
AMD Athlon 64 3200+,492,2488,3.29,$149.95*
AMD Athlon 64 3300+,576,2438,,
AMD Athlon 64 3400+,545,2450,,
AMD Athlon 64 3500+,540,2456,4.97,$108.95*
AMD Athlon 64 3600+,601,2423,,
AMD Athlon 64 3700+,598,2425,8.67,$69.00*
AMD Athlon 64 3800+,589,2428,3.28,$179.95*
AMD Athlon 64 4000+,608,2418,3.32,$183.27*
AMD Athlon 64 FX-25,794,2333,,
AMD Athlon 64 FX-34,380,2613,,
AMD Athlon 64 FX-51,437,2551,,
AMD Athlon 64 FX-53,646,2399,21.57,$29.99*
AMD Athlon 64 FX-55,721,2363,4.01,$179.95*
